blue,green,red,label
36,27,231,0
36,84,250,100
37,164,255,200
22,205,255,300
38,223,221,400
29,214,148,500
0,181,76,600
13,156,0,700
92,166,0,800
184,191,0,900
200,136,1,1000
38,27,237,0
50,100,244,100
30,143,247,200
36,195,255,300
0,242,254,400
65,195,132,500
73,183,77,600
75,169,51,700
182,184,10,800
205,144,70,900
166,87,60,1000
37,28,238,0
36,103,242,100
17,198,248,200
28,237,245,300
50,210,180,400
65,195,132,500
73,183,77,600
73,170,52,700
107,180,34,800
182,184,10,900
205,144,70,1000
35,29,236,0
37,104,243,100
18,197,248,200
28,237,245,300
50,210,180,400
65,195,132,500
73,183,77,600
73,169,51,700
106,178,34,800
182,185,9,900
200,144,73,1000
32,20,255,0
27,83,255,100
0,165,254,200
8,203,253,300
1,225,220,400
0,215,110,500
0,183,1,600
0,153,0,700
84,166,0,800
185,192,1,900
204,139,1,1000
24,23,241,0
13,103,244,100
0,198,250,200
0,239,246,300
25,212,180,400
55,197,130,500
67,185,72,600
67,170,43,700
104,181,16,800
183,185,2,900
207,143,65,1000
37,28,238,0
36,103,242,100
18,197,248,200
28,237,245,300
50,210,180,400
65,195,132,500
77,183,76,600
73,169,51,700
107,180,34,800
182,185,9,900
205,144,70,1000
46,30,191,0
39,43,216,100
51,90,229,200
31,146,250,300
68,179,252,400
39,230,221,500
62,200,142,600
75,192,67,700
117,182,43,800
160,167,2,900
196,160,30,1000
24,23,241,0
13,103,244,100
0,198,250,200
0,239,246,300
25,212,180,400
55,197,130,500
67,185,72,600
67,170,43,700
104,181,16,800
181,183,0,900
207,143,65,1000
24,23,241,0
13,103,244,100
0,198,250,200
0,239,246,300
25,212,180,400
55,197,130,500
67,185,72,600
67,170,43,700
104,181,16,800
182,184,0,900
207,143,65,1000
58,0,219,0
38,78,227,100
20,161,236,200
0,235,251,300
0,218,181,400
1,189,123,500
1,179,60,600
0,159,0,700
92,169,1,800
185,185,1,900
202,133,0,1000
24,23,241,0
13,103,244,100
0,198,250,200
0,239,246,300
25,212,180,400
55,197,130,500
67,185,72,600
67,170,43,700
104,181,16,800
182,184,0,900
207,143,65,1000
26,0,224,0
1,76,222,100
0,123,219,200
0,209,249,300
0,250,245,400
0,253,183,500
21,224,143,600
34,214,19,700
206,206,0,800
251,148,15,900
248,91,17,1000
23,39,135,0
24,38,168,100
30,27,213,200
33,32,228,300
29,126,240,400
6,192,240,500
30,203,173,600
73,183,77,700
59,137,0,800
182,184,10,900
205,144,70,1000
36,27,231,0
36,84,250,100
37,164,255,200
21,203,255,300
38,223,221,400
29,214,148,500
0,181,76,600
13,156,0,700
90,166,1,800
184,190,1,900
198,136,0,1000
42,44,98,0
46,63,150,100
43,44,184,200
28,37,218,300
40,82,219,400
25,120,230,500
0,193,232,600
0,245,255,700
124,220,184,800
39,195,131,900
70,143,70,1000
1,0,103,0
0,0,154,100
1,0,204,200
0,51,255,300
0,102,255,400
0,153,254,500
0,204,255,600
1,255,255,700
0,255,204,800
0,204,102,900
52,205,0,1000
24,23,241,0
13,103,244,100
0,196,250,200
0,239,246,300
25,212,180,400
55,197,130,500
67,185,72,600
67,170,43,700
104,181,16,800
182,184,0,900
207,143,65,1000
166,82,54,0
0,0,170,100
0,0,254,200
0,85,255,300
1,170,255,400
102,255,255,500
1,255,170,600
1,170,0,700
255,168,0,800
212,0,0,900
254,0,255,1000
28,34,241,0
7,106,244,100
1,201,248,200
0,238,245,300
2,212,182,400
39,197,131,500
61,183,75,600
63,169,46,700
101,181,28,800
181,186,0,900
209,143,65,1000
168,81,55,0
0,38,255,100
0,124,255,200
1,170,255,300
0,211,255,400
1,252,255,500
119,251,211,600
0,250,141,700
0,211,168,800
121,184,98,900
146,146,0,1000
